pathway,source_name,dest_name,distance_m,resource,demand,climate,feasibility,infrastructure,score,src_lon,src_lat,dst_lon,dst_lat
waste,"Waste site at 13.0940, 80.2213","Park at 13.0919, 80.2212",235.5,0.9,1.0,0.8,0.976,1.0,0.9265,80.2213000003672,13.093999999919404,80.221224,13.091872
waste,"Waste site at 13.0900, 80.2516","Park at 13.0927, 80.2512",301.8,0.9,1.0,0.8,0.97,1.0,0.9255,80.2516000002505,13.089999999879,80.251238,13.092706
waste,"Waste site at 13.0999, 80.1502","Park at 13.0922, 80.1486",866.3,0.9,1.0,0.8,0.913,1.0,0.917,80.150230000056,13.099899999692399,80.148626,13.092227
waste,"Waste site at 13.0940, 80.2213","Park at 13.0869, 80.2142",1099.2,0.9,1.0,0.8,0.89,1.0,0.9135,80.2213000003672,13.093999999919404,80.214229,13.086877
waste,"Waste site at 13.0980, 80.2670","Park at 13.0877, 80.2716",1245.5,0.9,1.0,0.8,0.875,1.0,0.9113,80.2669999997512,13.098000000082202,80.271628,13.087691999999999
waste,"Waste site at 13.0990, 80.2640","Park at 13.0877, 80.2716",1499.3,0.9,1.0,0.8,0.85,1.0,0.9075,80.2640000000016,13.099000000365399,80.271628,13.087691999999999
waste,"Waste site at 13.0940, 80.2213","Park at 13.0810, 80.2258",1516.8,0.9,1.0,0.8,0.848,1.0,0.9072,80.2213000003672,13.093999999919404,80.22583200000001,13.081025
waste,"Waste site at 13.0990, 80.2640","Park at 13.0927, 80.2512",1548.8,0.9,1.0,0.8,0.845,1.0,0.9068,80.2640000000016,13.099000000365399,80.251238,13.092706
waste,"Waste site at 13.0980, 80.2670","Park at 13.0927, 80.2512",1806.3,0.9,1.0,0.8,0.819,1.0,0.9029,80.2669999997512,13.098000000082202,80.251238,13.092706
waste,"Waste site at 13.0900, 80.2516","Park at 13.1066, 80.2426",2084.1,0.9,1.0,0.8,0.792,1.0,0.8987,80.2516000002505,13.089999999879,80.242553,13.106626999999998
waste,"Waste site at 13.0823, 80.2263","Park at 13.0810, 80.2258",154.4,0.8,1.0,0.8,0.985,1.0,0.8977,80.2263299997364,13.082332999943098,80.22583200000001,13.081025
waste,"Waste site at 13.0900, 80.2516","Park at 13.0877, 80.2716",2186.2,0.9,1.0,0.8,0.781,1.0,0.8972,80.2516000002505,13.089999999879,80.271628,13.087691999999999
waste,"Waste site at 13.0900, 80.2516","Park at 13.1090, 80.2429",2306.9,0.9,1.0,0.8,0.769,1.0,0.8954,80.2516000002505,13.089999999879,80.242912,13.109040999999998
waste,"Waste site at 12.9413, 80.2062","Park at 12.9411, 80.2098",393.0,0.8,1.0,0.8,0.961,1.0,0.8941,80.2062170002911,12.941261000040098,80.209834,12.941064
waste,"Waste site at 13.0980, 80.2670","Park at 13.1039, 80.2886",2433.6,0.9,1.0,0.8,0.757,1.0,0.8935,80.2669999997512,13.098000000082202,80.288633,13.103878999999997
waste,"Waste site at 13.0990, 80.2640","Park at 13.1066, 80.2426",2473.3,0.9,1.0,0.8,0.753,1.0,0.8929,80.2640000000016,13.099000000365399,80.242553,13.106626999999998
waste,"Waste site at 13.0963, 80.2231","Park at 13.0919, 80.2212",529.3,0.8,1.0,0.8,0.947,1.0,0.8921,80.2230999995446,13.0962899999526,80.221224,13.091872
waste,"Waste site at 13.0990, 80.2640","Park at 13.1090, 80.2429",2541.5,0.9,1.0,0.8,0.746,1.0,0.8919,80.2640000000016,13.099000000365399,80.242912,13.109040999999998
waste,"Waste site at 13.0980, 80.2670","Park at 13.1080, 80.2886",2584.7,0.9,1.0,0.8,0.742,1.0,0.8912,80.2669999997512,13.098000000082202,80.288569,13.10796
waste,"Waste site at 13.1090, 80.2823","Park at 13.1080, 80.2886",689.2,0.8,1.0,0.8,0.931,1.0,0.8897,80.2823000001627,13.109000000158597,80.288569,13.10796
waste,"Waste site at 13.0940, 80.2213","Park at 13.1066, 80.2426",2694.2,0.9,1.0,0.8,0.731,1.0,0.8896,80.2213000003672,13.093999999919404,80.242553,13.106626999999998
waste,"Waste site at 13.0594, 80.2781","Park at 13.0633, 80.2835",721.1,0.8,1.0,0.8,0.928,1.0,0.8892,80.2781200002567,13.0594100003591,80.283475,13.063277
waste,"Waste site at 13.0990, 80.2640","Park at 13.1039, 80.2886",2724.3,0.9,1.0,0.8,0.728,1.0,0.8891,80.2640000000016,13.099000000365399,80.288633,13.103878999999997
waste,"Waste site at 12.9413, 80.2062","Park at 12.9347, 80.2043",756.8,0.8,1.0,0.8,0.924,1.0,0.8886,80.2062170002911,12.941261000040098,80.20434000000002,12.934669999999997
waste,"Waste site at 13.0980, 80.2670","Park at 13.1066, 80.2426",2816.7,0.9,1.0,0.8,0.718,1.0,0.8877,80.2669999997512,13.098000000082202,80.242553,13.106626999999998
waste,"Waste site at 13.1323, 80.1575","Park at 13.1249, 80.1593",842.4,0.8,1.0,0.8,0.916,1.0,0.8874,80.1574899996983,13.132299999876897,80.15931,13.124895
waste,"Waste site at 13.0990, 80.2640","Park at 13.1080, 80.2886",2841.8,0.9,1.0,0.8,0.716,1.0,0.8874,80.2640000000016,13.099000000365399,80.288569,13.10796
waste,"Waste site at 13.0940, 80.2213","Park at 13.1090, 80.2429",2873.4,0.9,1.0,0.8,0.713,1.0,0.8869,80.2213000003672,13.093999999919404,80.242912,13.109040999999998
waste,"Waste site at 13.0980, 80.2670","Park at 13.1090, 80.2429",2882.7,0.9,1.0,0.8,0.712,1.0,0.8868,80.2669999997512,13.098000000082202,80.242912,13.109040999999998
waste,"Waste site at 13.1090, 80.2823","Park at 13.1039, 80.2886",890.0,0.8,1.0,0.8,0.911,1.0,0.8867,80.2823000001627,13.109000000158597,80.288633,13.103878999999997
waste,"Waste site at 13.0999, 80.1502","Park at 13.1249, 80.1593",2934.4,0.9,1.0,0.8,0.707,1.0,0.886,80.150230000056,13.099899999692399,80.15931,13.124895
waste,"Waste site at 13.0639, 80.2141","Park at 13.0693, 80.2070",969.2,0.8,1.0,0.8,0.903,1.0,0.8855,80.2140799998612,13.063949999623603,80.207,13.069299999999998
waste,"Waste site at 13.0900, 80.2516","Park at 13.0810, 80.2258",2964.7,0.9,1.0,0.8,0.704,1.0,0.8855,80.2516000002505,13.089999999879,80.22583200000001,13.081025
waste,"Waste site at 13.0293, 80.2337","Park at 13.0377, 80.2363",970.6,0.8,1.0,0.8,0.903,1.0,0.8854,80.2337499999664,13.0292900001212,80.23633,13.037693999999998
waste,"Waste site at 13.0989, 80.2577","Park at 13.0927, 80.2512",978.3,0.8,1.0,0.8,0.902,1.0,0.8853,80.257680000109,13.098900000218,80.251238,13.092706
waste,"Waste site at 13.0792, 80.2095","Park at 13.0869, 80.2142",992.6,0.8,1.0,0.8,0.901,1.0,0.8851,80.2095200000924,13.079179999765,80.214229,13.086877
waste,"Waste site at 13.0594, 80.2781","Park at 13.0655, 80.2850",1010.6,0.8,1.0,0.8,0.899,1.0,0.8848,80.2781200002567,13.0594100003591,80.285023,13.065549999999998
waste,"Waste site at 13.1328, 80.2592","Park at 13.1268, 80.2668",1053.2,0.8,1.0,0.8,0.895,1.0,0.8842,80.2592200000462,13.1328399998128,80.266759,13.126832000000002
waste,"Waste site at 13.0351, 80.2499","Park at 13.0270, 80.2445",1072.2,0.8,1.0,0.8,0.893,1.0,0.8839,80.24990999981311,13.035109999862298,80.244516,13.026984999999996
waste,"Waste site at 13.0990, 80.2640","Park at 13.1268, 80.2668",3092.6,0.9,1.0,0.8,0.691,1.0,0.8836,80.2640000000016,13.099000000365399,80.266759,13.126832000000002
waste,"Waste site at 13.0755, 80.2149","Park at 13.0693, 80.2070",1097.2,0.8,1.0,0.8,0.89,1.0,0.8835,80.2149000000628,13.075500000417998,80.207,13.069299999999998
waste,"Waste site at 13.0980, 80.2670","Park at 13.0793, 80.2883",3099.2,0.9,1.0,0.8,0.69,1.0,0.8835,80.2669999997512,13.098000000082202,80.288287,13.079295
waste,"Waste site at 13.0721, 80.2305","Park at 13.0810, 80.2258",1108.8,0.8,1.0,0.8,0.889,1.0,0.8834,80.2305499996437,13.072130000215402,80.22583200000001,13.081025
waste,"Waste site at 13.0792, 80.2095","Park at 13.0693, 80.2070",1126.3,0.8,1.0,0.8,0.887,1.0,0.8831,80.2095200000924,13.079179999765,80.207,13.069299999999998
waste,"Waste site at 13.0999, 80.1502","Park at 13.0876, 80.1763",3136.4,0.9,1.0,0.8,0.686,1.0,0.883,80.150230000056,13.099899999692399,80.176292,13.087588
waste,"Waste site at 13.0940, 80.2213","Park at 13.0693, 80.2070",3141.0,0.9,1.0,0.8,0.686,1.0,0.8829,80.2213000003672,13.093999999919404,80.207,13.069299999999998
waste,"Waste site at 13.0927, 80.2404","Park at 13.0927, 80.2512",1176.0,0.8,1.0,0.8,0.882,1.0,0.8824,80.2403900003902,13.092720000051399,80.251238,13.092706
waste,"Waste site at 13.0980, 80.2670","Park at 13.1268, 80.2668",3188.8,0.9,1.0,0.8,0.681,1.0,0.8822,80.2669999997512,13.098000000082202,80.266759,13.126832000000002
waste,"Waste site at 13.0293, 80.2337","Park at 13.0270, 80.2445",1195.0,0.8,1.0,0.8,0.881,1.0,0.8821,80.2337499999664,13.0292900001212,80.244516,13.026984999999996
waste,"Waste site at 13.0823, 80.2263","Park at 13.0919, 80.2212",1191.4,0.8,1.0,0.8,0.881,1.0,0.8821,80.2263299997364,13.082332999943098,80.221224,13.091872
waste,"Waste site at 13.0940, 80.2213","Park at 13.0927, 80.2512",3248.7,0.9,1.0,0.8,0.675,1.0,0.8813,80.2213000003672,13.093999999919404,80.251238,13.092706
waste,"Waste site at 13.0755, 80.2149","Park at 13.0869, 80.2142",1260.4,0.8,1.0,0.8,0.874,1.0,0.8811,80.2149000000628,13.075500000417998,80.214229,13.086877
waste,"Waste site at 13.1018, 80.1842","Park at 13.1122, 80.1890",1263.3,0.8,1.0,0.8,0.874,1.0,0.8811,80.1841599997977,13.1018099998138,80.188993,13.112204
waste,"Waste site at 13.0709, 80.2205","Park at 13.0810, 80.2258",1257.2,0.8,1.0,0.8,0.874,1.0,0.8811,80.2205200001278,13.070920000246002,80.22583200000001,13.081025
waste,"Waste site at 13.1018, 80.1842","Park at 13.1122, 80.1890",1263.3,0.8,1.0,0.8,0.874,1.0,0.8811,80.1841599997977,13.1018099998138,80.188993,13.112204
waste,"Waste site at 13.0900, 80.2516","Park at 13.0919, 80.2212",3299.6,0.9,1.0,0.8,0.67,1.0,0.8805,80.2516000002505,13.089999999879,80.221224,13.091872
waste,"Waste site at 13.0293, 80.2337","Park at 13.0413, 80.2331",1334.9,0.8,1.0,0.8,0.867,1.0,0.88,80.2337499999664,13.0292900001212,80.233079,13.041342000000002
waste,"Waste site at 13.0293, 80.2337","Park at 13.0239, 80.2447",1331.4,0.8,1.0,0.8,0.867,1.0,0.88,80.2337499999664,13.0292900001212,80.24471200000002,13.023867999999997
waste,"Waste site at 13.0755, 80.2149","Park at 13.0810, 80.2258",1333.5,0.8,1.0,0.8,0.867,1.0,0.88,80.2149000000628,13.075500000417998,80.22583200000001,13.081025
waste,"Waste site at 13.0351, 80.2499","Park at 13.0239, 80.2447",1365.1,0.8,1.0,0.8,0.863,1.0,0.8795,80.24990999981311,13.035109999862298,80.24471200000002,13.023867999999997
waste,"Waste site at 13.0823, 80.2263","Park at 13.0869, 80.2142",1404.9,0.8,1.0,0.8,0.86,1.0,0.8789,80.2263299997364,13.082332999943098,80.214229,13.086877
waste,"Waste site at 13.0990, 80.2640","Park at 13.0793, 80.2883",3417.9,0.9,1.0,0.8,0.658,1.0,0.8787,80.2640000000016,13.099000000365399,80.288287,13.079295
waste,"Waste site at 13.0963, 80.2231","Park at 13.0869, 80.2142",1417.3,0.8,1.0,0.8,0.858,1.0,0.8787,80.2230999995446,13.0962899999526,80.214229,13.086877
waste,"Waste site at 13.0523, 80.1966","Park at 13.0422, 80.2049",1431.0,0.8,1.0,0.8,0.857,1.0,0.8785,80.1965899997028,13.052259999853598,80.204921,13.042224999999997
waste,"Waste site at 13.1210, 80.2546","Park at 13.1268, 80.2668",1465.4,0.8,1.0,0.8,0.853,1.0,0.878,80.2546299999844,13.120979999606899,80.266759,13.126832000000002
waste,"Waste site at 13.0709, 80.2205","Park at 13.0693, 80.2070",1476.8,0.8,1.0,0.8,0.852,1.0,0.8778,80.2205200001278,13.070920000246002,80.207,13.069299999999998
waste,"Waste site at 13.0351, 80.2499","Park at 13.0367, 80.2636",1495.8,0.8,1.0,0.8,0.85,1.0,0.8776,80.24990999981311,13.035109999862298,80.263614,13.036659
waste,"Waste site at 13.0351, 80.2499","Park at 13.0377, 80.2363",1500.0,0.8,1.0,0.8,0.85,1.0,0.8775,80.24990999981311,13.035109999862298,80.23633,13.037693999999998
waste,"Waste site at 13.0239, 80.2586","Park at 13.0239, 80.2447",1504.7,0.8,1.0,0.8,0.85,1.0,0.8774,80.2585879999664,13.023909000246201,80.24471200000002,13.023867999999997
waste,"Waste site at 13.0770, 80.2391","Park at 13.0810, 80.2258",1505.8,0.8,1.0,0.8,0.849,1.0,0.8774,80.2391000001903,13.077000000160199,80.22583200000001,13.081025
waste,"Waste site at 13.0239, 80.2586","Park at 13.0367, 80.2636",1511.7,0.8,1.0,0.8,0.849,1.0,0.8773,80.2585879999664,13.023909000246201,80.263614,13.036659
waste,"Waste site at 13.0927, 80.2404","Park at 13.1066, 80.2426",1555.8,0.8,1.0,0.8,0.844,1.0,0.8767,80.2403900003902,13.092720000051399,80.242553,13.106626999999998
waste,"Waste site at 13.0239, 80.2586","Park at 13.0270, 80.2445",1563.4,0.8,1.0,0.8,0.844,1.0,0.8765,80.2585879999664,13.023909000246201,80.244516,13.026984999999996
waste,"Waste site at 13.1086, 80.2282","Park at 13.1066, 80.2426",1574.7,0.8,1.0,0.8,0.843,1.0,0.8764,80.2281699999092,13.1086199998297,80.242553,13.106626999999998
waste,"Waste site at 13.1086, 80.2282","Park at 13.1090, 80.2429",1598.8,0.8,1.0,0.8,0.84,1.0,0.876,80.2281699999092,13.1086199998297,80.242912,13.109040999999998
waste,"Waste site at 13.1138, 80.2289","Park at 13.1090, 80.2429",1604.5,0.8,1.0,0.8,0.84,1.0,0.8759,80.2289399995989,13.113830000368802,80.242912,13.109040999999998
waste,"Waste site at 13.1138, 80.2289","Park at 13.1066, 80.2426",1677.0,0.8,1.0,0.8,0.832,1.0,0.8748,80.2289399995989,13.113830000368802,80.242553,13.106626999999998
waste,"Waste site at 13.0774, 80.2513","Park at 13.0927, 80.2512",1688.4,0.8,1.0,0.8,0.831,1.0,0.8747,80.251269000459,13.077440000268599,80.251238,13.092706
waste,"Waste site at 13.0963, 80.2231","Park at 13.0810, 80.2258",1714.0,0.8,1.0,0.8,0.829,1.0,0.8743,80.2230999995446,13.0962899999526,80.22583200000001,13.081025
waste,"Waste site at 13.1404, 80.1583","Park at 13.1249, 80.1593",1720.4,0.8,1.0,0.8,0.828,1.0,0.8742,80.1583200000033,13.140419999816098,80.15931,13.124895
waste,"Waste site at 13.0792, 80.2095","Park at 13.0810, 80.2258",1780.2,0.8,1.0,0.8,0.822,1.0,0.8733,80.2095200000924,13.079179999765,80.22583200000001,13.081025
waste,"Waste site at 13.1018, 80.1842","Park at 13.0876, 80.1763",1789.3,0.8,1.0,0.8,0.821,1.0,0.8732,80.1841599997977,13.1018099998138,80.176292,13.087588
waste,"Waste site at 13.1018, 80.1842","Park at 13.0876, 80.1763",1789.3,0.8,1.0,0.8,0.821,1.0,0.8732,80.1841599997977,13.1018099998138,80.176292,13.087588
waste,"Waste site at 13.0927, 80.2404","Park at 13.1090, 80.2429",1825.6,0.8,1.0,0.8,0.817,1.0,0.8726,80.2403900003902,13.092720000051399,80.242912,13.109040999999998
waste,"Waste site at 13.1210, 80.2546","Park at 13.1090, 80.2429",1832.2,0.8,1.0,0.8,0.817,1.0,0.8725,80.2546299999844,13.120979999606899,80.242912,13.109040999999998
waste,"Waste site at 13.0989, 80.2577","Park at 13.1066, 80.2426",1849.2,0.8,1.0,0.8,0.815,1.0,0.8723,80.257680000109,13.098900000218,80.242553,13.106626999999998
waste,"Waste site at 13.0709, 80.2205","Park at 13.0869, 80.2142",1892.0,0.8,1.0,0.8,0.811,1.0,0.8716,80.2205200001278,13.070920000246002,80.214229,13.086877
waste,"Waste site at 13.0792, 80.2095","Park at 13.0919, 80.2212",1892.2,0.8,1.0,0.8,0.811,1.0,0.8716,80.2095200000924,13.079179999765,80.221224,13.091872
waste,"Waste site at 13.1084, 80.2606","Park at 13.1090, 80.2429",1915.3,0.8,1.0,0.8,0.808,1.0,0.8713,80.2605699996055,13.108449999703998,80.242912,13.109040999999998
waste,"Waste site at 13.0755, 80.2149","Park at 13.0919, 80.2212",1936.1,0.8,1.0,0.8,0.806,1.0,0.871,80.2149000000628,13.075500000417998,80.221224,13.091872
waste,"Waste site at 13.0989, 80.2577","Park at 13.1090, 80.2429",1954.7,0.8,1.0,0.8,0.805,1.0,0.8707,80.257680000109,13.098900000218,80.242912,13.109040999999998
waste,"Waste site at 13.0351, 80.2499","Park at 13.0413, 80.2331",1950.9,0.8,1.0,0.8,0.805,1.0,0.8707,80.24990999981311,13.035109999862298,80.233079,13.041342000000002
waste,"Waste site at 13.0989, 80.2577","Park at 13.0877, 80.2716",1955.2,0.8,1.0,0.8,0.804,1.0,0.8707,80.257680000109,13.098900000218,80.271628,13.087691999999999
waste,"Waste site at 13.1084, 80.2606","Park at 13.1066, 80.2426",1963.5,0.8,1.0,0.8,0.804,1.0,0.8705,80.2605699996055,13.108449999703998,80.242553,13.106626999999998
waste,"Waste site at 13.1086, 80.2282","Park at 13.0919, 80.2212",1999.5,0.8,1.0,0.8,0.8,1.0,0.87,80.2281699999092,13.1086199998297,80.221224,13.091872
waste,"Waste site at 13.1084, 80.2606","Park at 13.0927, 80.2512",2013.8,0.8,1.0,0.8,0.799,1.0,0.8698,80.2605699996055,13.108449999703998,80.251238,13.092706
waste,"Waste site at 13.0927, 80.2404","Park at 13.0810, 80.2258",2040.6,0.8,1.0,0.8,0.796,1.0,0.8694,80.2403900003902,13.092720000051399,80.22583200000001,13.081025
waste,"Waste site at 13.0940, 80.2213","Park at 13.1122, 80.1890",4039.7,0.9,1.0,0.8,0.596,1.0,0.8694,80.2213000003672,13.093999999919404,80.188993,13.112204
waste,"Waste site at 13.1210, 80.2546","Park at 13.1066, 80.2426",2057.6,0.8,1.0,0.8,0.794,1.0,0.8691,80.2546299999844,13.120979999606899,80.242553,13.106626999999998
waste,"Waste site at 13.0900, 80.2516","Park at 13.0869, 80.2142",4066.2,0.9,1.0,0.8,0.593,1.0,0.869,80.2516000002505,13.089999999879,80.214229,13.086877
waste,"Waste site at 13.0927, 80.2404","Park at 13.0919, 80.2212",2079.9,0.8,1.0,0.8,0.792,1.0,0.8688,80.2403900003902,13.092720000051399,80.221224,13.091872
waste,"Waste site at 13.0980, 80.2670","Park at 13.0655, 80.2850",4086.3,0.9,1.0,0.8,0.591,1.0,0.8687,80.2669999997512,13.098000000082202,80.285023,13.065549999999998
waste,"Waste site at 13.1084, 80.2606","Park at 13.1268, 80.2668",2140.8,0.8,1.0,0.8,0.786,1.0,0.8679,80.2605699996055,13.108449999703998,80.266759,13.126832000000002
waste,"Waste site at 13.0900, 80.2516","Park at 13.0793, 80.2883",4149.8,0.9,1.0,0.8,0.585,1.0,0.8678,80.2516000002505,13.089999999879,80.288287,13.079295
waste,"Waste site at 13.0233, 80.2107","Park at 13.0422, 80.2049",2183.3,0.8,1.0,0.8,0.782,1.0,0.8673,80.2106634357516,13.0233035507198,80.204921,13.042224999999997
waste,"Waste site at 13.0770, 80.2391","Park at 13.0927, 80.2512",2179.2,0.8,1.0,0.8,0.782,1.0,0.8673,80.2391000001903,13.077000000160199,80.251238,13.092706
waste,"Waste site at 13.1232, 80.1595","Park at 13.1249, 80.1593",184.9,0.7,1.0,0.8,0.982,1.0,0.8672,80.1595499999726,13.123240000136796,80.15931,13.124895
waste,"Waste site at 13.0523, 80.1966","Park at 13.0693, 80.2070",2196.7,0.8,1.0,0.8,0.78,1.0,0.867,80.1965899997028,13.052259999853598,80.207,13.069299999999998
waste,"Waste site at 13.1113, 80.1872","Park at 13.1122, 80.1890",220.5,0.7,1.0,0.8,0.978,1.0,0.8667,80.1871599999231,13.1113399998117,80.188993,13.112204
waste,"Waste site at 13.0907, 80.2514","Park at 13.0927, 80.2512",222.5,0.7,1.0,0.8,0.978,1.0,0.8667,80.2514000002387,13.09069999963,80.251238,13.092706
waste,"Waste site at 13.0980, 80.2670","Park at 13.0633, 80.2835",4235.3,0.9,1.0,0.8,0.576,1.0,0.8665,80.2669999997512,13.098000000082202,80.283475,13.063277
waste,"Waste site at 13.1280, 80.2912","Park at 13.1080, 80.2886",2232.1,0.8,1.0,0.8,0.777,1.0,0.8665,80.2911800000566,13.127980000334198,80.288569,13.10796
waste,"Waste site at 13.0252, 80.2201","Park at 13.0377, 80.2363",2237.6,0.8,1.0,0.8,0.776,1.0,0.8664,80.2200999996032,13.0252000001373,80.23633,13.037693999999998
waste,"Waste site at 13.0252, 80.2201","Park at 13.0413, 80.2331",2273.3,0.8,1.0,0.8,0.773,1.0,0.8659,80.2200999996032,13.0252000001373,80.233079,13.041342000000002
waste,"Waste site at 13.0639, 80.2141","Park at 13.0810, 80.2258",2278.1,0.8,1.0,0.8,0.772,1.0,0.8658,80.2140799998612,13.063949999623603,80.22583200000001,13.081025
waste,"Waste site at 13.0900, 80.2516","Park at 13.1039, 80.2886",4298.1,0.9,1.0,0.8,0.57,1.0,0.8655,80.2516000002505,13.089999999879,80.288633,13.103878999999997
waste,"Waste site at 13.1264, 80.2640","Park at 13.1268, 80.2668",302.9,0.7,1.0,0.8,0.97,1.0,0.8655,80.2640000000831,13.126399999893001,80.266759,13.126832000000002
waste,"Waste site at 13.1068, 80.2912","Park at 13.1080, 80.2886",312.7,0.7,1.0,0.8,0.969,1.0,0.8653,80.2911999996185,13.106800000386398,80.288569,13.10796
waste,"Waste site at 13.0709, 80.2205","Park at 13.0919, 80.2212",2318.5,0.8,1.0,0.8,0.768,1.0,0.8652,80.2205200001278,13.070920000246002,80.221224,13.091872
waste,"Waste site at 13.0990, 80.2640","Park at 13.0655, 80.2850",4345.2,0.9,1.0,0.8,0.565,1.0,0.8648,80.2640000000016,13.099000000365399,80.285023,13.065549999999998
waste,"Waste site at 13.0900, 80.2516","Park at 13.1268, 80.2668",4392.4,0.9,1.0,0.8,0.561,1.0,0.8641,80.2516000002505,13.089999999879,80.266759,13.126832000000002
